Subject ID,Stress Condition,Trial Number,Short(0)/Long(1),env_trial_num,Stay(0)/Leave(1),StartTime,EndTime,Trial time,channel,offset_aperiodics,exponent_aperiodics,center_frequency_peaks,amplitude_peaks,std_dev_peaks,MSE_stats,r_squared_stats,frequency_wise_error_1_stats,frequency_wise_error_2_stats,frequency_wise_error_3_stats,frequency_wise_error_4_stats,frequency_wise_error_5_stats,frequency_wise_error_6_stats,frequency_wise_error_7_stats,frequency_wise_error_8_stats,frequency_wise_error_9_stats,frequency_wise_error_10_stats,frequency_wise_error_11_stats,frequency_wise_error_12_stats,frequency_wise_error_13_stats,frequency_wise_error_14_stats,frequency_wise_error_15_stats,frequency_wise_error_16_stats,frequency_wise_error_17_stats,frequency_wise_error_18_stats,frequency_wise_error_19_stats,frequency_wise_error_20_stats,frequency_wise_error_21_stats,frequency_wise_error_22_stats,frequency_wise_error_23_stats,frequency_wise_error_24_stats,frequency_wise_error_25_stats,frequency_wise_error_26_stats,frequency_wise_error_27_stats,frequency_wise_error_28_stats,frequency_wise_error_29_stats,frequency_wise_error_30_stats,frequency_wise_error_31_stats,frequency_wise_error_32_stats,frequency_wise_error_33_stats,frequency_wise_error_34_stats,frequency_wise_error_35_stats,frequency_wise_error_36_stats,frequency_wise_error_37_stats,frequency_wise_error_38_stats,frequency_wise_error_39_stats,frequency_wise_error_40_stats,frequency_wise_error_41_stats,frequency_wise_error_42_stats,frequency_wise_error_43_stats,frequency_wise_error_44_stats,frequency_wise_error_45_stats,frequency_wise_error_46_stats,frequency_wise_error_47_stats,frequency_wise_error_48_stats,frequency_wise_error_49_stats,frequency_wise_error_50_stats
43000,pre,1,0,1,1,860.896,865.636,4.740000000000009,CZ,-11.1965478,2.96095251,42.11954654,1.820011234,2.664888212,0.167452766,0.872147882,1.157241359,0.236780616,0.141526299,0.160022784,0.42013739,0.446250962,0.28073421,0.388352739,0.398073897,0.279050633,0.007454559,0.392836481,0.176982194,0.223029476,0.12850494,0.196801721,0.153823254,0.308719441,0.002452551,0.388202061,0.443871681,0.60141067,0.406821361,0.061208966,0.206460258,0.060629009,0.035257472,0.054339159,0.172196276,0.381139813,0.273821178,0.015043955,0.091257383,0.024312329,0.121683712,0.367909365,0.377110531,0.47393928,0.077012326,0.064263525,0.152211502,0.353969837,0.016493334,0.457291585,0.80524338,0.23458577,0.99363607,0.886445865,0.781437478,0.721211484
43000,pre,1,0,1,1,860.896,865.636,4.740000000000009,FZ,-11.07964691,3.363461378,42.64734114,1.953773323,2.295099819,0.146746518,0.900244874,0.824215584,0.596446952,0.222269504,0.25367258,0.432700082,0.804578275,0.576298987,0.416676611,0.273154894,0.214648347,0.011576173,0.315728789,0.1497593,0.228305573,0.201641343,0.083241745,0.261162245,0.087866305,0.181891755,0.221872002,0.045048343,0.416898329,0.404506044,0.195897018,0.313528163,0.201896777,0.077559809,0.216540806,0.114932935,0.278400358,0.004206563,0.068600537,0.294518808,0.023976195,0.056854599,0.20238792,0.34324987,0.410434275,0.107936174,0.240048203,0.052165782,0.528381725,0.034051981,0.283764554,0.614698812,0.290131336,1.03836039,0.756708661,0.626575284,0.570940406
43000,pre,2,0,2,1,866.732,872.088,5.3559999999999945,CZ,-9.421457646,4.126232937,37.02266061,2.315193189,5.999552376,0.245827525,0.865538671,1.431665162,0.313150584,0.171361747,0.219782313,0.394922174,0.415689874,0.654532198,0.273165249,0.380206878,0.484117218,0.14566165,0.308298574,0.153695066,0.172466009,0.147694047,0.146021438,0.182588505,0.275867058,0.050557944,0.062734654,0.179527195,0.170076827,0.022643471,0.045195657,0.010571446,0.152731607,0.059618481,0.322947795,0.41730918,0.318333336,0.237927848,0.224128082,0.061695589,0.202537564,0.247561944,0.540052157,0.46331247,0.237182336,0.053382386,0.063077154,0.202079751,0.392137728,0.869581927,0.812819412,0.886319596,0.420599649,1.18388475,1.154380606,1.040959642,0.939159795
43000,pre,2,0,2,1,866.732,872.088,5.3559999999999945,FZ,-10.10729903,3.703152531,43.90452292,1.71674385,1.290977351,0.18469236,0.890858341,1.399472335,0.218011871,0.30190229,0.400473992,0.378835441,0.428935856,0.491132511,0.453046586,0.284076432,0.02583151,0.232046144,0.085187304,0.159690784,0.530175312,0.60890263,0.109464958,0.200342817,0.186776859,0.112502836,0.171918243,0.036499325,0.415229558,0.211197272,0.167441293,0.199212588,0.312440728,0.371911493,0.246017704,0.116671236,0.154448687,0.181071097,0.105302442,0.117793091,0.166742992,0.044288704,0.060422399,0.109521718,0.122408409,0.275007242,0.671347262,0.592038118,0.090764103,0.060748237,0.041787678,0.406878804,0.160471385,1.052994899,0.936615192,0.872527275,0.828686306
43000,pre,3,0,3,1,873.836,878.988,5.152000000000044,CZ,-10.89913584,3.219982034,31.48978176,1.948144803,5.416146824,0.058107864,0.959786367,0.774940253,0.285364491,0.10707537,0.328050659,0.37595894,0.17758645,0.193312388,0.068625714,0.238868653,0.178842833,0.004201778,0.016083473,0.090550839,0.104438036,0.182378794,0.244575942,0.068320302,0.090239145,0.070975876,0.158767512,0.140902911,0.100911085,0.161705367,0.109491611,0.116774761,0.230618597,0.109028421,0.013080761,0.16724038,0.155790018,0.195543836,0.081266344,0.157328127,0.228803985,0.080478039,0.069053466,0.191546128,0.06253116,0.135323264,0.097616112,0.004690937,0.269750246,0.099419389,0.176399127,0.148659763,0.183158607,0.680700997,0.48814599,0.440471986,0.422856817
43000,pre,3,0,3,1,873.836,878.988,5.152000000000044,FZ,-11.15539652,3.333838231,23.74407139,2.329504201,5.99996585,0.212845338,0.867911319,0.785275109,0.171159778,0.293645141,0.031877134,0.371452635,0.549172252,0.346496862,0.132871337,0.166974013,0.155564005,0.109008116,0.200827247,0.114191628,0.273457773,0.387557106,0.24634794,0.242658197,0.27551142,0.1926943,0.206731625,0.045622765,0.108259281,0.035089927,0.329616207,0.573121816,0.279838967,0.145056147,0.176895676,0.287525519,0.362947565,0.530209457,0.326806227,0.374535429,0.38818934,0.052178498,0.255033324,0.162658056,0.251022876,0.540703222,0.15886905,0.09205173,0.210738954,0.347840552,0.848493694,0.934879464,0.492519547,1.338083704,1.147489978,0.970967462,0.83835295
43000,pre,4,0,4,1,880.404,885.668,5.26400000000001,CZ,-9.97482601,3.192762209,27.3176313,1.168165151,5.99880278,0.089466901,0.934328627,0.972312586,0.073291513,0.239122804,0.271442159,0.254828424,0.118066168,0.02883216,0.007108875,0.014604641,0.435249856,0.209230776,0.116100851,0.08291644,0.01665561,0.140197359,0.062737313,0.268949843,0.111062285,0.428784678,0.340169553,0.271598306,0.134025418,0.077719374,0.018734332,0.238441252,0.344646905,0.124525658,0.180750654,0.142513057,0.157791934,0.170984697,0.174887427,0.165877726,0.252784275,0.099615585,0.131411504,0.115214562,0.045898098,0.099195944,0.028665596,0.03268579,0.100039034,0.148861094,0.384258331,0.51832131,0.102397414,0.697493491,0.649768362,0.608807198,0.582303794
43000,pre,4,0,4,1,880.404,885.668,5.26400000000001,FZ,-9.80908651,3.526708789,44.25910873,1.238133808,0.916941212,0.118031972,0.911424007,1.259141768,0.249856643,0.051396597,0.142804782,0.25097539,0.539441505,0.493116017,0.495255545,0.093425189,0.317611783,0.383327124,0.323460351,0.212024388,0.166244334,0.108835623,0.201854921,0.073159215,0.220319866,0.24214707,0.179106271,0.076217329,0.079794251,0.23121245,0.130479997,0.177282414,0.056526391,0.313132487,0.488903949,0.502586596,0.03477322,0.244190425,0.135934523,0.016315438,0.014594664,0.036114798,0.251365578,0.196698621,0.180466607,0.085027237,0.242960526,0.316857184,0.288453491,0.101657277,0.121078806,0.254329595,0.198389088,0.744887085,0.611718655,0.538373669,0.486833444
43000,pre,5,0,5,1,887.096,892.788,5.692000000000007,CZ,-10.788913,3.300896808,41.54836439,2.115639663,2.911715415,0.20988135,0.865732063,1.079430707,0.337388479,0.419933547,0.182133848,0.378119714,0.4267942,0.455146138,0.412379104,0.436418644,0.726024314,0.508831897,0.1879892,0.455423857,0.223200926,0.136190255,0.494377876,0.01431326,0.12548429,0.459310752,0.449666377,0.262240303,0.223128637,0.019842835,0.193763892,0.119607692,0.047231781,0.019928926,0.166799069,0.335451133,0.156201376,0.110940024,0.006844069,0.118626709,0.242660788,0.258151933,0.351726253,0.314651909,0.269100821,0.025742636,0.270609741,0.4116752,0.013764975,0.065844929,0.523033781,0.856109474,0.297813978,1.205264902,1.058815827,0.937485728,0.872415379
43000,pre,5,0,5,1,887.096,892.788,5.692000000000007,FZ,-10.74527111,3.448294317,37.05859731,2.404968435,5.999756493,0.274801601,0.80432591,0.91102429,0.294158236,0.286684759,0.280632088,0.007927514,0.474026019,0.628969046,0.656309763,0.714088101,0.786782996,0.632276539,0.045562282,0.11032228,0.047220895,0.105970971,0.048942872,0.224791612,0.495061722,0.390010589,0.356441171,0.284984145,0.038915153,0.161639744,0.238326033,0.413538408,0.10759746,0.405900469,0.576184898,0.651511354,0.207109632,0.221220164,0.068026162,0.183685632,0.422335606,0.488284275,0.58482956,0.436653837,0.217689931,0.091080388,0.424228722,0.407920562,0.389613272,0.547822981,0.887080801,0.914810681,0.285221635,1.274761375,1.107275759,0.976413443,0.874773663
